Designator,Mid X,Mid Y,Rotation,Layer
D1,101.80875,-70.5925,90.0,top
D10,158.90875,-89.6925,90.0,top
D11,177.95875,-89.6925,90.0,top
D12,197.00875,-89.6925,90.0,top
D13,101.80875,-108.6925,90.0,top
D14,120.80875,-108.6925,90.0,top
D15,139.90875,-108.6925,90.0,top
D16,158.90875,-108.6925,90.0,top
D17,178.00875,-108.6925,90.0,top
D18,197.00875,-108.6925,90.0,top
D19,104.20875,-127.6925,90.0,top
D2,120.80875,-70.5925,90.0,top
D20,128.00875,-127.6925,90.0,top
D21,151.765,-127.6925,90.0,top
D22,185.10875,-127.6925,90.0,top
D3,139.90875,-70.5925,90.0,top
D4,158.90875,-70.6025,90.0,top
D5,177.95875,-70.5925,90.0,top
D6,197.00875,-70.6025,90.0,top
D7,101.75875,-89.6925,90.0,top
D8,120.80875,-89.6925,90.0,top
D9,139.90875,-89.6925,90.0,top
S1,92.23375,-63.8175,0.0,top
S10,149.38375,-82.8675,0.0,top
S11,168.43375,-82.8675,0.0,top
S12,187.48375,-82.8675,0.0,top
S13,92.23375,-101.9175,0.0,top
S14,111.28375,-101.9175,0.0,top
S15,130.33375,-101.9175,0.0,top
S16,149.38375,-101.9175,0.0,top
S17,168.43375,-101.9175,0.0,top
S18,187.48375,-101.9175,0.0,top
S19,94.615,-120.9675,0.0,top
S2,111.28375,-63.8175,0.0,top
S20,118.4275,-120.9675,0.0,top
S21,142.24,-120.9675,0.0,top
S22,175.5775,-120.9675,0.0,top
S23,92.23375,-63.8175,0.0,bottom
S24,111.28375,-63.8175,0.0,bottom
S25,130.33375,-63.8175,0.0,bottom
S26,149.38375,-63.8175,0.0,bottom
S27,168.43375,-63.8175,0.0,bottom
S28,187.48375,-63.8175,0.0,bottom
S29,92.23375,-82.8675,0.0,bottom
S3,130.33375,-63.8175,0.0,top
S30,111.28375,-82.8675,0.0,bottom
S31,130.33375,-82.8675,0.0,bottom
S32,149.38375,-82.8675,0.0,bottom
S33,168.43375,-82.8675,0.0,bottom
S34,187.48375,-82.8675,0.0,bottom
S35,92.23375,-101.9175,0.0,bottom
S36,111.28375,-101.9175,0.0,bottom
S37,130.33375,-101.9175,0.0,bottom
S38,149.38375,-101.9175,0.0,bottom
S39,168.43375,-101.9175,0.0,bottom
S4,149.38375,-63.8175,0.0,top
S40,187.48375,-101.9175,0.0,bottom
S41,94.615,-120.9675,0.0,bottom
S42,118.4275,-120.9675,0.0,bottom
S43,142.24,-120.9675,0.0,bottom
S44,175.5775,-120.9675,0.0,bottom
S5,168.43375,-63.8175,0.0,top
S6,187.48375,-63.8175,0.0,top
S7,92.23375,-82.8675,0.0,top
S8,111.28375,-82.8675,0.0,top
S9,130.33375,-82.8675,0.0,top
U1,210.66125,-72.0725,0.0,top
